codepoint,entity
F6BE,dotlessj
F6BF,LL
F6C0,ll
F6C3,commaaccent
F6C4,afii10063
F6C5,afii10064
F6C6,afii10192
F6C7,afii10831
F6C8,afii10832
F6C9,Acute
F6CA,Caron
F6CB,Dieresis
F6CC,DieresisAcute
F6CD,DieresisGrave
F6CE,Grave
F6CF,Hungarumlaut
F6D0,Macron
F6D1,cyrBreve
F6D2,cyrFlex
F6D3,dblGrave
F6D4,cyrbreve
F6D5,cyrflex
F6D6,dblgrave
F6D7,dieresisacute
F6D8,dieresisgrave
F6D9,copyrightserif
F6DA,registerserif
F6DB,trademarkserif
F6DC,onefitted
F6DD,rupiah
F6DE,threequartersemdash
F6DF,centinferior
F6E0,centsuperior
F6E1,commainferior
F6E2,commasuperior
F6E3,dollarinferior
F6E4,dollarsuperior
F6E5,hypheninferior
F6E6,hyphensuperior
F6E7,periodinferior
F6E8,periodsuperior
F6E9,asuperior
F6EA,bsuperior
F6EB,dsuperior
F6EC,esuperior
F6ED,isuperior
F6EE,lsuperior
F6EF,msuperior
F6F0,osuperior
F6F1,rsuperior
F6F2,ssuperior
F6F3,tsuperior
F6F4,Brevesmall
F6F5,Caronsmall
F6F6,Circumflexsmall
F6F7,Dotaccentsmall
F6F8,Hungarumlautsmall
F6F9,Lslashsmall
F6FA,OEsmall
F6FB,Ogoneksmall
F6FC,Ringsmall
F6FD,Scaronsmall
F6FE,Tildesmall
F6FF,Zcaronsmall
F721,exclamsmall
F724,dollaroldstyle
F726,ampersandsmall
F730,zerooldstyle
F731,oneoldstyle
F732,twooldstyle
F733,threeoldstyle
F734,fouroldstyle
F735,fiveoldstyle
F736,sixoldstyle
F737,sevenoldstyle
F738,eightoldstyle
F739,nineoldstyle
F73F,questionsmall
F760,Gravesmall
F761,Asmall
F762,Bsmall
F763,Csmall
F764,Dsmall
F765,Esmall
F766,Fsmall
F767,Gsmall
F768,Hsmall
F769,Ismall
F76A,Jsmall
F76B,Ksmall
F76C,Lsmall
F76D,Msmall
F76E,Nsmall
F76F,Osmall
F770,Psmall
F771,Qsmall
F772,Rsmall
F773,Ssmall
F774,Tsmall
F775,Usmall
F776,Vsmall
F777,Wsmall
F778,Xsmall
F779,Ysmall
F77A,Zsmall
F7A1,exclamdownsmall
F7A2,centoldstyle
F7A8,Dieresissmall
F7AF,Macronsmall
F7B4,Acutesmall
F7B8,Cedillasmall
F7BF,questiondownsmall
F7E0,Agravesmall
F7E1,Aacutesmall
F7E2,Acircumflexsmall
F7E3,Atildesmall
F7E4,Adieresissmall
F7E5,Aringsmall
F7E6,AEsmall
F7E7,Ccedillasmall
F7E8,Egravesmall
F7E9,Eacutesmall
F7EA,Ecircumflexsmall
F7EB,Edieresissmall
F7EC,Igravesmall
F7ED,Iacutesmall
F7EE,Icircumflexsmall
F7EF,Idieresissmall
F7F0,Ethsmall
F7F1,Ntildesmall
F7F2,Ogravesmall
F7F3,Oacutesmall
F7F4,Ocircumflexsmall
F7F5,Otildesmall
F7F6,Odieresissmall
F7F8,Oslashsmall
F7F9,Ugravesmall
F7FA,Uacutesmall
F7FB,Ucircumflexsmall
F7FC,Udieresissmall
F7FD,Yacutesmall
F7FE,Thornsmall
F7FF,Ydieresissmall
F884,maihanakatleftthai
F885,saraileftthai
F886,saraiileftthai
F887,saraueleftthai
F888,saraueeleftthai
F889,maitaikhuleftthai
F88A,maiekupperleftthai
F88B,maieklowrightthai
F88C,maieklowleftthai
F88D,maithoupperleftthai
F88E,maitholowrightthai
F88F,maitholowleftthai
F890,maitriupperleftthai
F891,maitrilowrightthai
F892,maitrilowleftthai
F893,maichattawaupperleftthai
F894,maichattawalowrightthai
F895,maichattawalowleftthai
F896,thanthakhatupperleftthai
F897,thanthakhatlowrightthai
F898,thanthakhatlowleftthai
F899,nikhahitleftthai
F8E5,radicalex
F8E6,arrowvertex
F8E7,arrowhorizex
F8E8,registersans
F8E9,copyrightsans
F8EA,trademarksans
F8EB,parenlefttp
F8EC,parenleftex
F8ED,parenleftbt
F8EE,bracketlefttp
F8EF,bracketleftex
F8F0,bracketleftbt
F8F1,bracelefttp
F8F2,braceleftmid
F8F3,braceleftbt
F8F4,braceex
F8F5,integralex
F8F6,parenrighttp
F8F7,parenrightex
F8F8,parenrightbt
F8F9,bracketrighttp
F8FA,bracketrightex
F8FB,bracketrightbt
F8FC,bracerighttp
F8FD,bracerightmid
F8FE,bracerightbt
F8FF,apple
