codepoint,name
E000,LATIN CAPITAL LETTER A WITH SCHWA JOINT
E001,LATIN CAPITAL LETTER A WITH SCHWA UNJOINT
E002,LATIN CAPITAL LETTER A WITH RHOTIC HOOK
E003,LATIN CAPITAL LETTER A WITH GRAVE AND OGONEK
E004,LATIN CAPITAL LETTER A WITH ACUTE AND OGONEK
E005,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND ACUTE
E006,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND RING BELOW
E007,LATIN CAPITAL LETTER A WITH TILDE AND ACUTE
E008,LATIN CAPITAL LETTER A WITH TILDE AND OGONEK
E009,LATIN CAPITAL LETTER A WITH MACRON AND GRAVE
E00A,LATIN CAPITAL LETTER A WITH MACRON AND ACUTE
E00B,LATIN CAPITAL LETTER A WITH MACRON AND ACUTE AND OGONEK
E00C,LATIN CAPITAL LETTER A WITH MACRON AND ACUTE AND RING ABOVE RIGHT
E00D,LATIN CAPITAL LETTER A WITH MACRON AND CIRCUMFLEX ABOVE
E00E,LATIN CAPITAL LETTER A WITH MACRON AND TILDE
E00F,LATIN CAPITAL LETTER A WITH MACRON AND TILDE AND ACUTE
E010,LATIN CAPITAL LETTER A WITH MACRON AND BREVE
E011,LATIN CAPITAL LETTER A WITH MACRON AND BREVE AND ACUTE
E012,LATIN CAPITAL LETTER A WITH MACRON AND DIAERESIS
E013,LATIN CAPITAL LETTER A WITH MACRON AND RING ABOVE
E014,LATIN CAPITAL LETTER A WITH MACRON AND CARON
E015,LATIN CAPITAL LETTER A WITH MACRON AND OGONEK
E016,LATIN CAPITAL LETTER A WITH MACRON AND TOCHARIAN BOW DOWN AND MODIFIER LETTER SMALL U SUBSCRIPT
E017,LATIN CAPITAL LETTER A WITH MACRON AND LEFT ARROWHEAD
E018,LATIN CAPITAL LETTER A WITH DOT ABOVE AND OGONEK
E019,LATIN CAPITAL LETTER A WITH DIAERESIS AND ACUTE
E01A,LATIN CAPITAL LETTER A WITH DIAERESIS AND CIRCUMFLEX ABOVE
E01B,LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON AND BREVE
E01C,LATIN CAPITAL LETTER A WITH DIAERESIS AND BREVE
E01D,LATIN CAPITAL LETTER A WITH DIAERESIS AND DOT BELOW
E01E,LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON BELOW
E01F,LATIN CAPITAL LETTER A WITH RING ABOVE AND CIRCUMFLEX
E020,LATIN CAPITAL LETTER A WITH RING ABOVE AND TILDE
E021,LATIN CAPITAL LETTER A WITH RING ABOVE AND MACRON
E022,LATIN CAPITAL LETTER A WITH RING ABOVE AND MACRON AND BREVE
E023,LATIN CAPITAL LETTER A WITH RING ABOVE AND BREVE
E024,LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE ABOVE RIGHT
E025,LATIN CAPITAL LETTER A WITH DOUBLE ACUTE ABOVE
E026,LATIN CAPITAL LETTER A WITH COMMA ABOVE
E027,LATIN CAPITAL LETTER A WITH DIAERESIS BELOW
