codepoint,entity,german,name
F1BB,c_h,Kleine Latein-ch-Ligatur,LATIN SMALL LIGATURE CH
EEC4,c_k,Kleine Latein-ck-Ligatur,LATIN SMALL LIGATURE CK
FB00,f_f,Kleine Latein-ff-Ligatur,LATIN SMALL LIGATURE FF
FB03,f_f_i,Kleine Latein-ffi-Ligatur,LATIN SMALL LIGATURE FFI
FB04,f_f_l,Kleine Latein-ffl-Ligatur,LATIN SMALL LIGATURE FFL
EECE,f_f_t,Kleine Latein-fft-Ligatur,LATIN SMALL LIGATURE FFT
FB01,f_i,Kleine Latein-fi-Ligatur,LATIN SMALL LIGATURE FI
EEC9,f_j,Kleine Latein-fj-Ligatur,LATIN SMALL LIGATURE FJ
FB02,f_l,Kleine Latein-fl-Ligatur,LATIN SMALL LIGATURE FL
EECB,f_t,Kleine Latein-ft-Ligatur,LATIN SMALL LIGATURE FT
F4F9,l_l,Kleine Latein-ll-Ligatur,LATIN SMALL LIGATURE LL
E5D2,m_m,Kleines Latein-m mit Nasalstrich,LATIN SMALL LETTER M WITH MEDIUM-HIGH OVERLINE (ABOVE CHARACTER)
E5DC,n_n,Kleines Latein-n mit Nasalstrich,LATIN SMALL LETTER N WITH MEDIUM-HIGH OVERLINE (ABOVE CHARACTER)
A75B,roundr,Kleines Latein-Rund-r,LATIN SMALL LETTER R ROTUNDA
017F,longs,Kleines Latein-Lang-s,LATIN SMALL LETTER LONG S
F4FA,longs_c_h,Kleine Latein-sch-Ligatur,LATIN SMAL L LIGATURE LONG S CH
EBA1,longs_h,Kleine Latein-sh-Ligatur,LATIN SMALL LIGATURE LONG S H
EBA2,longs_i,Kleine Latein-si-Ligatur,LATIN SMALL LIGATURE LONG S I
F4FB,longs_j,Kleine Latein-sj-Ligatur,LATIN SMALL LIGATURE LONG S J
F4FC,longs_k,Kleine Latein-sk-Ligatur,LATIN SMALL LIGATURE LONG S K
EBA3,longs_l,Kleine Latein-sl-Ligatur,LATIN SMALL LIGATURE LONG S L
00DF,germandbls,Kleines Latein-Eszett,LATIN SMALL LETTER SHARP S
1E9E,germandblS,Großes Latein-Eszett,LATIN CAPITAL LETTER SHARP S
EBA6,longs_longs,Kleine Latein-ss-Ligatur,LATIN SMALL LIGATURE LONG S LONG S
F4FD,longs_s,Kleine Latein-ss-Ligatur,LATIN SMALL LIGATURE LONG S S
EBA7,longs_longs_i,Kleine Latein-ssi-Ligatur,LATIN SMALL LIGATURE LONG S LONG S I
F4FE,longs_longs_k,Kleine Latein-ssk-Ligatur,LATIN SMALL LIGATURE LONG S LONG S K
EBA8,longs_longs_l,Kleine Latein-ssl-Ligatur,LATIN SMALL LIGATURE LONG S LONG S L
F4FF,longs_longs_t,Kleine Latein-sst-Ligatur,LATIN SMALL LIGATURE LONG S LONG S T
FB05,longs_t,Kleine Latein-st-Ligatur,LATIN SMALL LIGATURE LONG S T
EED9,t_t,Kleine Latein-tt-Ligatur,LATIN SMALL LIGATURE TT
EEDC,t_z,Kleine Latein-tz-Ligatur,LATIN SMALL LIGATURE TZ
F4F7,prestroke,Vorstrich auf der Grundlinie ansetzend,BASE-LINE STROKE PLACED BEFORE
F4F8,S_t,Verbindung aus großem Lat.-S/kleinem Lat.-t,LATIN LIGATURE CAPITAL LETTER S SMALL LETTER T
F500,a_,Anstrichloses kleines Latein-a,LATIN SMALL LETTER A WITHOUT STROKE PLACED BEFORE
F501,adieresis_,Anstrichloses kleines Latein-ä,LATIN SMALL LETTER ADIERESIS WITHOUT STROKE PLACED BEFORE
F502,_c_,Ligaturverträgliches kleines Latein-c,LATIN SMALL LETTER C LIGATURE COMPATIBLE FORM
F503,_d,Nachstrichloses kleines Latein-d,LATIN SMALL LETTER D WITHOUT STROKE PLACED BEHIND
F504,g_,Anstrichloses kleines Latein-g,LATIN SMALL LETTER G WITHOUT STROKE PLACED BEFORE
F505,o_,Anstrichloses kleines Latein-o,LATIN SMALL LETTER O WITHOUT STROKE PLACED BEFORE
F506,odieresis_,Anstrichloses kleines Latein-ö,LATIN SMALL LETTER ODIERESIS WITHOUT STROKE PLACED BEFORE
F507,_p,Nachstrichloses kleines Latein-p,LATIN SMALL LETTER P WITHOUT STROKE PLACED BEHIND
F508,q_,Anstrichloses kleines Latein-q,LATIN SMALL LETTER Q WITHOUT STROKE PLACED BEFORE
F509,_s,Nachstrichloses kleines Latein-s,LATIN SMALL LETTER S WITHOUT STROKE PLACED BEHIND
F50A,_longs,Nachstrichloses kleines Latein-Lang-s,LATIN SMALL LETTER LONG S WITHOUT STROKE PLACED BEHIND
F50B,_longs_longs,Nachstrichlose kleine Latein-ss-Ligatur,LATIN SMALL LIGATURE LONG S LONG S WITHOUT STROKE PLACED BEHIND
F50C,_longs_s,Nachstrichlose kleine Latein-ss-Ligatur,LATIN SMALL LIGATURE LONG S S WITHOUT STROKE PLACED BEHIND
F50D,_germandbls,Nachstrichloses kleines Latein-Eszett,LATIN SMALL LETTER SHARP S WITHOUT STROKE PLACED BEHIND
F50E,_v,Nachstrichloses kleines Latein-v,LATIN SMALL LETTER V WITHOUT STROKE PLACED BEHIND
F50F,_w,Nachstrichloses kleines Latein-w,LATIN SMALL LETTER W WITHOUT STROKE PLACED BEHIND
F510,_x,Nachstrichloses kleines Latein-x,LATIN SMALL LETTER X WITHOUT STROKE PLACED BEHIND
F511,_F,Nachstrichloses großes Latein-F,LATIN CAPITAL LETTER F WITHOUT STROKE PLACED BEHIN
F512,_I,Nachstrichloses großes Latein-I,LATIN CAPITAL LETTER I WITHOUT STROKE PLACED BEHIND
F513,_O,Nachstrichloses großes Latein-O,LATIN CAPITAL LETTER O WITHOUT STROKE PLACED BEHIND
F514,_Odieresis,Nachstrichloses großes Latein-Ö,LATIN CAPITAL LETTER ODIERESIS WITHOUT STROKE PLACED BEHIND
F515,_S,Nachstrichloses großes Latein-S,LATIN CAPITAL LETTER S WITHOUT STROKE PLACED BEHIND
F516,_V,Nachstrichloses großes Latein-V,LATIN CAPITAL LETTER V WITHOUT STROKE PLACED BEHIND
F517,_W,Nachstrichloses großes Latein-W,LATIN CAPITAL LETTER W WITHOUT STROKE PLACED BEHIND
