codepoint,name
F330,CYRILLIC CAPITAL LETTER REVERSED A
F331,CYRILLIC SMALL LETTER REVERSED A
F332,COMBINING CYRILLIC LETTER REVERSED A
F333,CYRILLIC CAPITAL LETTER PALATAL GHE
F334,CYRILLIC SMALL LETTER PALATAL GHE
F335,COMBINING CYRILLIC LETTER PALATAL GHE
F336,COMBINING CYRILLIC LETTER GIE
F337,COMBINING CYRILLIC LETTER SOFT DE
F338,COMBINING CYRILLIC LETTER IO
F339,COMBINING CYRILLIC LETTER UKRAINIAN IE
F33A,CYRILLIC CAPITAL LETTER EPSILON
F33B,CYRILLIC SMALL LETTER EPSILON
F33C,COMBINING CYRILLIC LETTER EPSILON
F33D,COMBINING CYRILLIC LETTER E
F33E,COMBINING CYRILLIC LETTER DZELO
F33F,COMBINING CYRILLIC LETTER DZE
F340,COMBINING CYRILLIC LETTER REVERSED DZE
F341,COMBINING CYRILLIC LETTER ZEMLYA
F342,COMBINING CYRILLIC LETTER I
F343,COMBINING CYRILLIC LETTER SHORT I
F344,COMBINING CYRILLIC LETTER BYELORUSSIAN-UKRAINIAN I WITH DOT
F345,CYRILLIC SMALL LETTER DECIMAL I
F346,COMBINING CYRILLIC LETTER DECIMAL I
F347,COMBINING CYRILLIC LETTER YI
F348,COMBINING CYRILLIC LETTER IOTA
F349,COMBINING CYRILLIC LETTER YE
F34A,CYRILLIC CAPITAL LETTER DJERV WITHOUT STROKE
F34B,CYRILLIC SMALL LETTER DJERV WITHOUT STROKE
F34C,COMBINING CYRILLIC LETTER DJERV WITHOUT STROKE
F34D,COMBINING CYRILLIC LETTER MODERN DJERV
F34E,CYRILLIC CAPITAL LETTER PALATAL KA
F34F,CYRILLIC SMALL LETTER PALATAL KA
F350,COMBINING CYRILLIC LETTER PALATAL KA
F351,COMBINING CYRILLIC LETTER KJE
F352,COMBINING CYRILLIC LETTER SOFT EL
F353,COMBINING CYRILLIC LETTER LJE
F354,COMBINING CYRILLIC LETTER SOFT EM
F355,CYRILLIC CAPITAL LETTER SOFT EN
F356,CYRILLIC SMALL LETTER SOFT EN
F357,COMBINING CYRILLIC LETTER SOFT EN
F358,COMBINING CYRILLIC LETTER NJE
F359,CYRILLIC CAPITAL LETTER BROAD O
F35A,CYRILLIC SMALL LETTER BROAD O
F35B,COMBINING CYRILLIC LETTER BROAD O
F35C,COMBINING CYRILLIC LETTER MONOCULAR O
F35D,COMBINING CYRILLIC LETTER BINOCULAR O
F35E,COMBINING CYRILLIC LETTER DOUBLE MONOCULAR O
F35F,COMBINING CYRILLIC LETTER KOPPA
F360,CYRILLIC CAPITAL LETTER BROAD ES
F361,CYRILLIC SMALL LETTER BROAD ES
F362,COMBINING CYRILLIC LETTER BROAD ES
F363,COMBINING CYRILLIC LETTER TSHE
F364,COMBINING CYRILLIC LETTER U
F365,COMBINING CYRILLIC LETTER SHORT U
F366,COMBINING CYRILLIC LETTER STRAIGHT U
F367,COMBINING CYRILLIC LETTER STRAIGHT U WITH STROKE
F368,CYRILLIC CAPITAL LETTER REVERSED U
F369,CYRILLIC SMALL LETTER REVERSED U
F36A,COMBINING CYRILLIC LETTER REVERSED U
F36B,COMBINING CYRILLIC LETTER UK
F36C,CYRILLIC CAPITAL LETTER REVERSED REARRANGED UK
F36D,CYRILLIC SMALL LETTER REVERSED REARRANGED UK
F36E,COMBINING CYRILLIC LETTER REVERSED REARRANGED UK
F36F,CYRILLIC CAPITAL LETTER REARRANGED UK
F370,CYRILLIC SMALL LETTER REARRANGED UK
F371,COMBINING CYRILLIC LETTER REARRANGED UK
F372,CYRILLIC CAPITAL LETTER LIGATURE UK
F373,CYRILLIC SMALL LETTER LIGATURE UK
F374,CYRILLIC CAPITAL LETTER INVERTED LIGATURE UK
F375,CYRILLIC SMALL LETTER INVERTED LIGATURE UK
F376,CYRILLIC CAPITAL LETTER INSCRIBED UK
F377,CYRILLIC SMALL LETTER INSCRIBED UK
F378,COMBINING CYRILLIC LETTER EF
F379,CYRILLIC CAPITAL LETTER PALATAL HA
F37A,CYRILLIC SMALL LETTER PALATAL HA
F37B,COMBINING CYRILLIC LETTER PALATAL HA
F37C,COMBINING CYRILLIC LETTER OMEGA
F37D,COMBINING CYRILLIC LETTER BROAD OMEGA
F37E,CYRILLIC CAPITAL LETTER CLOSED OMEGA
F37F,CYRILLIC SMALL LETTER CLOSED OMEGA
F380,COMBINING CYRILLIC LETTER CLOSED OMEGA
F381,COMBINING CYRILLIC LETTER ROUND OMEGA
F382,COMBINING CYRILLIC LETTER REVERSED TSE
F383,COMBINING CYRILLIC LETTER DZHE
F384,CYRILLIC CAPITAL LETTER SHTA
F385,CYRILLIC SMALL LETTER SHTA
F386,COMBINING CYRILLIC LETTER SHTA
F387,CYRILLIC CAPITAL LETTER INVERTED SHTA
F388,CYRILLIC SMALL LETTER INVERTED SHTA
F389,COMBINING CYRILLIC LETTER HARD SIGN
F38A,COMBINING CYRILLIC LETTER YERU WITH BACK YER
F38B,CYRILLIC CAPITAL LETTER LIGATED YERU WITH BACK YER
F38C,CYRILLIC SMALL LETTER LIGATED YERU WITH BACK YER
F38D,COMBINING CYRILLIC LETTER LIGATED YERU WITH BACK YER
F38E,CYRILLIC CAPITAL LETTER YERU WITH BACK YER AND IOTA
F38F,CYRILLIC SMALL LETTER YERU WITH BACK YER AND IOTA
F390,COMBINING CYRILLIC LETTER YERU WITH BACK YER AND IOTA
F391,CYRILLIC CAPITAL LETTER YERU WITH BACK YER AND I
F392,CYRILLIC SMALL LETTER YERU WITH BACK YER AND I
