codepoint,entity,name,versions
E262,OEligogon,LATIN CAPITAL LIGATURE OE WITH OGONEK,MUFI: 4.0
E268,Pdblac,LATIN CAPITAL LETTER P WITH DOUBLE ACUTE,MUFI: 4.0
E34E,Vvertline,LATIN CAPITAL LETTER V WITH VERTICAL LINE ABOVE,MUFI: 4.0
E662,oeligogon,LATIN SMALL LIGATURE OE WITH OGONEK,MUFI: 4.0
E668,pdblac,LATIN SMALL LETTER P WITH DOUBLE ACUTE,MUFI: 4.0
E74F,vvertline,LATIN SMALL LETTER V WITH VERTICAL LINE ABOVE,MUFI: 4.0
E8A1,idblstrok,LATIN SMALL LETTER I WITH TWO STROKES,MUFI: 4.0
E8A2,jdblstrok,LATIN SMALL LETTER J WITH TWO STROKES,MUFI: 4.0
E8A3,autem,LATIN ABBREVIATION SIGN AUTEM,MUFI: 4.0
E8BB,vslashura,LATIN SMALL LETTER V WITH SHORT SLASH ABOVE RIGHT,MUFI: 4.0 auto
E8BC,vslashuradbl,LATIN SMALL LETTER V WITH TWO SHORT SLASHES ABOVE RIGHT,MUFI: 4.0 auto
E8C1,thornrarmlig,LATIN SMALL LETTER THORN LIGATED WITH ARM OF LATIN SMALL LETTER R,MUFI: 3.0
E8C2,Hrarmlig,LATIN CAPITAL LETTER H LIGATED WITH ARM OF LATIN SMALL LETTER R,MUFI: 3.0
E8C3,hrarmlig,LATIN SMALL LETTER H LIGATED WITH ARM OF LATIN SMALL LETTER R,MUFI: 3.0
E8C5,krarmlig,LATIN SMALL LETTER K LIGATED WITH ARM OF LATIN SMALL LETTER R,MUFI: 3.0
E8C6,UUlig,LATIN CAPITAL LIGATURE UU,MUFI: 4.0 auto
E8C7,uulig,LATIN SMALL LIGATURE UU,MUFI: 4.0 auto
E8C8,UElig,LATIN CAPITAL LIGATURE UE,MUFI: 4.0 auto
E8C9,uelig,LATIN SMALL LIGATURE UE,MUFI: 4.0 auto
E8CE,xslashlradbl,LATIN SMALL LETTER X WITH TWO SHORT SLASHES BELOW RIGHT,MUFI: 4.0 auto
E8D1,aeligring,LATIN SMALL LETTER AE WITH RING ABOVE,MUFI: 3.0
E8D3,aeligogonacute,LATIN SMALL LETTER AE WITH OGONEK AND ACUTE,MUFI: 3.0
E8D5,adiaguml,LATIN SMALL LETTER A WITH DIAGONAL DIAERESIS,MUFI: 3.0
E8D7,odiaguml,LATIN SMALL LETTER O WITH DIAGONAL DIAERESIS,MUFI: 3.0
E8DD,inodotogon,LATIN SMALL LETTER DOTLESS I WITH OGONEK,MUFI: 4.0 auto
E8DE,orrotlig,LATIN SMALL LIGATURE O R ROTUNDA,MUFI: 4.0 auto
E8DF,slonglbarlig,LATIN SMALL LIGATURE LONG S L WITH STROKE,MUFI: 4.0 auto
E8E0,iesup,LATIN SMALL LETTER A WITH LATIN SMALL LETTER I ABOVE,MUFI: 3.0
E8E1,ausup,LATIN SMALL LETTER A WITH LATIN SMALL LETTER U ABOVE,MUFI: 3.0
E8E2,eesup,LATIN SMALL LETTER E WITH LATIN SMALL LETTER E ABOVE,MUFI: 3.0
E8E3,eosup,LATIN SMALL LETTER E WITH LATIN SMALL LETTER O ABOVE,MUFI: 3.0
E8E4,iasup,LATIN SMALL LETTER I WITH LATIN SMALL LETTER A ABOVE,MUFI: 3.0
E8E5,iosup,LATIN SMALL LETTER I WITH LATIN SMALL LETTER O ABOVE,MUFI: 3.0
E8E6,iusup,LATIN SMALL LETTER I WITH LATIN SMALL LETTER U ABOVE,MUFI: 3.0
E8E7,jesup,LATIN SMALL LETTER J WITH LATIN SMALL LETTER E ABOVE,MUFI: 3.0
E8E8,mesup,LATIN SMALL LETTER M WITH LATIN SMALL LETTER E ABOVE,MUFI: 3.0
E8E9,oosup,LATIN SMALL LETTER O WITH LATIN SMALL LETTER O ABOVE,MUFI: 3.0
E8EA,resup,LATIN SMALL LETTER R WITH LATIN SMALL LETTER E ABOVE,MUFI: 3.0
E8EB,uasup,LATIN SMALL LETTER U WITH LATIN SMALL LETTER A ABOVE,MUFI: 3.0
E8EC,uvsup,LATIN SMALL LETTER U WITH LATIN SMALL LETTER V ABOVE,MUFI: 3.0
E8ED,uwsup,LATIN SMALL LETTER U WITH LATIN SMALL LETTER W ABOVE,MUFI: 3.0
E8F0,wasup,LATIN SMALL LETTER W WITH LATIN SMALL LETTER A ABOVE,MUFI: 3.0
E8F1,wisup,LATIN SMALL LETTER W WITH LATIN SMALL LETTER I ABOVE,MUFI: 3.0
E8F2,wusup,LATIN SMALL LETTER W WITH LATIN SMALL LETTER U ABOVE,MUFI: 3.0
